gene,qval_6h,ratio_6h,qval_1d,ratio_1d,qval_3d,ratio_3d,qval_7d,ratio_7d
DYNC1LI1,0.839733,1.07348,0.381366,1.13652,0.865811,1.1269,0.995966,1.05981
DYNC1LI2,0.871337,1.04752,0.0772109,1.19251,0.865811,1.09686,0.997914,1.02926
DYNC2LI1,0.736455,1.05872,0.0712002,0.887025,0.938598,0.96797,0.997914,0.990345
DYNLL1,0.869447,1.23138,0.632277,0.760786,0.988836,1.05336,0.997914,0.86412
DYNLL2,0.851414,0.967826,3.59E-05,0.786234,0.294519,0.844721,0.993753,0.96725
DYNLRB1,0.913546,1.04252,0.259226,0.858933,0.961809,0.961819,0.999088,1.00511
DYNLRB2,0.656002,0.911648,0.171102,0.889004,0.91121,1.05545,0.994235,0.960061
DYNLT1,0.954755,1.06444,0.030791,1.9596,0.947167,1.14266,0.997216,1.14102
DYNLT3,0.710719,1.18885,0.950839,0.981375,0.950397,0.931144,0.994092,1.09979
DYRK1A,0.961241,1.01529,0.96762,0.994001,0.933411,0.954714,0.993608,1.05628
DYRK1B,0.630479,0.896487,0.0236482,0.82406,0.984695,0.986564,0.976269,0.922469
DYRK2,0.851904,1.07429,0.0820075,0.786887,0.900889,0.906532,0.993745,1.0847
DYRK3,0.643677,0.911534,0.970148,1.00505,0.970224,1.02047,0.980492,0.93443
DYRK4,0.965525,0.987665,0.0482612,0.854751,0.641081,0.86662,0.997914,0.973524
DYSF,0.993175,1.01275,0.0273603,2.07046,0.78598,1.55305,0.998861,1.02322
DYX1C1,0.731501,0.960462,0.902496,0.99087,0.991699,1.00337,0.997914,0.991294
DZANK1,0.960094,0.990327,0.783604,0.978494,0.99316,0.99686,0.9904,1.03788
DZIP1,0.861804,0.969653,0.568979,1.04548,0.804138,1.0788,0.997914,1.01634
DZIP1L,0.571693,0.87343,0.705072,1.04622,0.788288,0.892962,0.968655,0.92007
DZIP3,0.531014,1.24993,0.000873023,0.702918,0.913559,0.929458,0.931009,1.14252
E2F1,0.569756,0.882241,0.452905,0.932481,0.938348,1.03973,0.993745,0.953684
E2F2,0.978807,1.01593,0.121064,1.28658,0.758107,1.2457,0.996467,1.07086
E2F3,0.541535,1.21199,0.00039585,1.40534,0.815957,1.1285,0.910158,1.13996
E2F4,0.77617,1.08396,0.490049,0.913162,0.959061,1.03672,0.999011,0.994146
E2F5,0.544994,1.20635,0.346825,0.89765,0.407016,0.783043,0.997914,1.02962
E2F6,0.763439,1.18025,0.0134779,1.6482,0.89556,1.17232,0.980852,1.19824
E2F7,0.57193,0.895212,0.924825,0.988835,0.983606,1.0117,0.997914,0.994012
E2F8,0.601693,0.913021,0.798284,0.975657,0.923707,1.03961,0.994735,1.03321
E4F1,0.882512,1.02949,0.578808,0.954111,0.805813,1.08475,0.999733,1.00023
EAF1,0.999307,0.999563,0.000371053,1.42232,0.980604,1.01996,0.997914,1.02216
EAF2,0.687538,1.22144,0.550259,1.15734,0.927841,1.11663,0.919665,1.27168
EAPP,0.791146,1.15015,0.247333,0.777831,0.981793,0.964784,0.993745,1.12531
EARS2,0.592697,0.918845,0.838405,1.01846,0.903124,0.958905,0.997914,0.976791
EBAG9,0.657123,1.14188,0.532638,0.913432,0.99187,0.9916,0.975687,1.11364
EBF1,0.882461,1.0441,0.000679086,0.729877,0.160408,0.72429,0.997914,0.96527
EBF2,0.560102,0.84032,0.438155,0.909997,0.91121,0.933535,0.900127,0.873681
EBF4,0.562209,0.803252,0.593929,0.914981,0.871188,0.888251,0.997914,0.986766
EBI3,0.644664,0.842727,0.138655,1.25176,0.99482,0.993951,0.957238,0.858439
EBLN2,0.533765,1.12232,0.0127718,0.866769,0.938749,1.02973,0.997914,0.985235
EBNA1BP2,0.741233,1.1016,0.0848259,0.819765,0.998995,1.00053,0.985611,1.08928
EBP,0.873715,0.933592,0.0508526,0.749587,0.962461,1.04764,0.997914,1.03279
EBPL,0.679198,0.897893,0.0108881,0.779496,0.865811,0.908042,0.997914,1.01915
ECD,0.569756,1.11516,0.923351,1.01088,0.984502,0.989421,0.968655,1.06711
ECE1,0.983199,1.01945,0.935194,1.03268,0.92691,1.14492,0.997914,1.03139
ECE2,0.769582,0.937113,0.718606,1.04294,0.933765,0.956419,0.997914,0.98871
ECEL1,0.596709,0.887029,0.9163,0.985262,0.956049,1.03058,0.997914,0.983428
ECEL1P2,0.99509,1.00255,0.982764,1.00362,0.94302,0.957453,0.997914,1.0263
ECH1,0.952026,1.04757,0.0217011,0.606676,0.97855,1.04641,0.997914,1.0683
ECHDC1,0.601241,1.20718,0.880834,0.968227,0.951704,1.05385,0.993753,1.0763
ECHDC2,0.647787,0.876148,0.00068634,0.697924,0.954769,0.959964,0.989896,1.08081
ECHDC3,0.638543,0.87096,0.135351,1.19399,0.996304,0.996948,0.997914,0.964502
ECHS1,0.949578,1.03241,0.529737,0.890907,0.99863,0.998984,0.995966,1.07128
ECI1,0.965719,0.978463,0.119651,0.795737,0.983285,1.02403,0.999298,1.00143
ECI2,0.525981,1.2673,0.014567,0.762643,0.994833,1.00481,0.947417,1.13504
ECM1,0.607292,0.879461,0.228096,1.13258,0.928946,0.947952,0.993745,0.94467
ECM2,0.602891,0.912608,0.389678,0.935674,0.963323,0.979608,0.994235,0.966832
ECSIT,0.962607,1.01484,0.020936,0.820621,0.927275,1.05131,0.997914,1.0159
ECT2,0.589158,1.15344,0.227948,1.13702,0.988323,1.0123,0.979827,1.08947
EDA,0.506155,0.875778,0.00138027,0.843865,0.991379,1.00448,0.997914,1.00885
EDA2R,0.987849,1.00458,0.207407,1.10569,0.923623,1.04454,0.588522,1.17601
EDAR,0.995419,1.0035,0.055142,0.763976,0.906316,0.907299,0.985611,1.11165
EDARADD,0.844199,0.94106,0.723443,1.0558,0.873777,0.906475,0.997914,0.977141
EDC3,0.531014,1.14938,0.854541,0.98033,0.974904,1.01606,0.760202,1.13132
EDC4,0.812855,1.03376,0.217915,0.933101,0.924883,1.03061,0.997914,0.981948
EDDM3A,0.585299,0.879392,0.942863,1.01043,0.798026,0.895344,0.984213,0.935032
EDDM3B,0.942406,0.985577,0.907937,0.988845,0.868389,0.946461,0.861457,0.916713
EDEM1,0.762624,1.13975,0.380036,1.18232,0.988836,0.980624,0.98577,1.13225
EDEM2,0.999013,0.999249,6.86E-05,1.5809,0.278521,1.40622,0.866596,1.19291
EDEM3,0.631721,1.20392,0.283781,1.1946,0.933765,1.08204,0.997914,1.03213
EDF1,0.958287,1.03381,0.00108783,0.574587,0.906554,0.88266,0.997914,0.981935
EDIL3,0.570333,0.900682,0.907733,0.987483,0.944042,0.97089,0.993608,0.958482
EDN1,0.995216,0.994848,0.249652,1.29003,0.99015,1.01895,0.994119,1.11034
EDN2,0.58058,0.85412,0.661953,1.06289,0.919196,0.937857,0.998861,1.00744
EDN3,0.697141,0.909256,0.938226,1.01247,0.906016,0.935406,0.997914,1.00977
EDNRA,0.626022,0.915108,0.895296,0.985216,0.891212,0.946399,0.96386,0.932343
EDNRB,0.779405,0.937553,0.059022,1.17965,0.982344,0.984813,0.997914,0.9816
EDRF1,0.845897,1.04355,0.680553,1.04442,0.997083,1.00145,0.988529,1.05734
EEA1,0.593532,1.21069,0.78087,1.05536,0.98676,0.981526,0.997914,1.04113
EED,0.602214,1.19041,0.290508,1.16083,0.804129,1.16988,0.984213,1.10302
EEF1A1,0.904668,1.02962,0.000377896,1.30377,0.0314339,1.411,0.245664,1.28344
EEF1A2,0.727443,0.930328,0.402338,0.924204,0.868389,0.928093,0.949466,0.916114
EEF1B2,0.823329,0.935347,0.746864,0.951116,0.49319,0.785969,0.967231,0.897751
EEF1D,0.571693,0.822814,0.187238,0.837744,0.967721,0.965754,0.997914,0.98305
EEF1D,0.925775,1.03534,0.347944,1.132,0.883018,1.10127,0.997914,1.03381
EEF1DP3,0.93764,1.01931,0.388046,1.07647,0.804298,1.09475,0.879435,1.10774
EEF1E1,0.571693,1.36041,0.890141,0.956873,0.915249,1.13541,0.889062,1.30797
EEF2,0.862861,1.0357,2.05E-11,0.599193,0.0616246,0.757117,0.968548,0.934396
EEF2K,0.957106,1.01988,0.776534,0.958443,0.831653,0.890114,0.993608,0.936009
EEFSEC,0.77516,1.04217,0.004609,0.862107,0.948538,0.977974,0.993608,1.03581
EEPD1,0.82048,1.09935,0.269954,1.20659,0.97128,1.04018,0.997914,0.986391
EFCAB1,0.513412,0.852369,0.334074,0.926207,0.789889,0.913512,0.997914,0.973652
EFCAB11,0.989457,0.996932,0.816903,1.01977,0.931743,1.03101,0.900127,1.07785
EFCAB12,0.602905,0.874707,0.566864,0.931694,0.768871,0.87509,0.980945,0.919656
EFCAB13,0.997316,0.997689,0.722415,0.922675,0.731214,0.784198,0.984213,0.875253
EFCAB2,0.988036,0.990877,0.289759,1.19768,0.98432,1.02445,0.997914,0.970835
EFCAB3,0.655303,0.918016,0.642007,0.955461,0.924847,0.957539,0.981729,0.938487
EFCAB5,0.582731,0.918345,0.734994,0.973254,0.955439,1.02067,0.997914,0.986208
EFCAB6,0.549602,0.907441,0.184839,0.927284,0.704655,0.918362,0.989896,0.963968
EFCAB7,0.577882,1.14118,0.0041794,0.789064,0.944346,0.962353,0.80175,1.15473
EFCC1,0.658824,0.905199,0.91817,1.01514,0.98676,0.988106,0.997914,0.971305
EFEMP1,0.693294,0.921115,0.93228,0.988375,0.952774,0.96924,0.997914,1.00862
EFEMP2,0.531231,0.861032,0.906771,1.01459,0.882904,0.938635,0.997914,0.97958
EFHB,0.632678,0.927648,0.414086,0.943628,0.881528,1.05219,0.999419,0.999578
EFHC1,0.868654,1.03292,0.000436782,0.799483,0.509237,0.865431,0.986316,0.950606
EFHC2,0.861804,0.94895,0.000407339,0.70539,0.605092,0.818979,0.993745,0.940404
EFHD1,0.773835,0.926508,0.421565,0.908677,0.968029,1.02796,0.997914,1.02852
EFHD2,0.898583,1.06718,0.978906,0.992301,0.87585,1.15699,0.995966,0.924114
EFNA1,0.794842,0.945865,0.859344,1.02226,0.99015,0.99283,0.997914,1.02306
EFNA2,0.584787,0.811001,0.68875,0.926024,0.815957,0.84513,0.768323,0.782795
EFNA3,0.959849,1.01306,0.721917,1.03647,0.981718,1.01335,0.953073,1.08096
EFNA4,0.999437,0.999717,0.990417,0.998276,0.945277,1.04038,0.979422,1.08439
EFNA5,0.590724,0.865429,0.323823,0.894532,0.909243,0.934418,0.854382,0.862682
EFNB1,0.670602,0.930446,0.00805774,0.845694,0.982087,1.01176,0.964024,0.936081
EFNB2,0.74805,0.934383,0.416788,0.925244,0.968029,0.97808,0.997914,1.01762
EFNB3,0.492752,0.776573,0.670214,0.942411,0.937423,0.948931,0.999088,0.995555
EFR3B,0.847893,0.964198,0.48494,1.05894,0.89818,1.05094,0.997914,1.02222
EFS,0.611601,0.8846,0.877981,1.02253,0.844147,0.907942,0.997914,0.969379
EFTUD1,0.600635,1.1737,0.73579,1.05605,0.993249,0.993452,0.997914,1.02078
EFTUD2,0.857011,1.03683,0.185289,1.10481,0.857269,1.07229,0.998836,0.994908
EGF,0.913981,0.925832,0.253337,0.751267,0.913979,0.86311,0.984213,0.836214
EGFL6,0.568411,0.904767,0.801614,0.977418,0.964652,1.01882,0.999088,0.998245
EGFL7,0.528278,0.793761,0.933369,0.983912,0.950397,0.955876,0.968912,0.89603
EGFLAM,0.710165,0.937199,0.937654,0.991136,0.886693,0.946184,0.999733,0.999682
EGFR,0.591153,0.891808,0.934594,1.0109,0.981747,0.985654,0.993608,0.951589
EGLN1,0.831251,0.960206,0.194858,0.907946,0.88661,0.945079,0.90037,0.912757
EGLN2,0.898877,1.02378,0.0788984,0.897604,0.730438,1.09486,0.997914,0.98491
EGLN3,0.570045,0.897499,0.0303807,0.863752,0.84407,0.930198,0.912096,0.915732
EGR1,0.561164,0.40674,0.0541343,0.358326,0.710544,0.430306,0.925409,0.52699
EGR2,0.531014,0.585772,0.069192,1.6409,0.891495,0.809887,0.980706,0.791991
EGR3,0.525981,0.599211,0.909808,0.95561,0.786215,0.725411,0.966861,0.785009
EGR4,0.547685,0.779257,0.832617,0.957684,0.891212,0.898566,0.997914,0.947037
EHBP1,0.534834,1.1371,0.0102937,0.847724,0.706827,0.898897,0.993753,1.03582
EHD1,0.758201,0.936189,0.0685446,0.860131,0.874411,0.930147,0.889572,0.895056
EHD2,0.569756,0.871175,0.933743,0.987975,0.871188,0.923925,0.9815,0.928579
EHD3,0.972881,0.978118,0.00359639,0.614189,0.622063,0.721752,0.937266,0.814662
EHD4,0.924098,1.04159,1.10E-07,2.00062,0.685088,1.24823,0.980706,1.1221
EHF,0.692393,0.924733,0.362745,1.08491,0.851921,0.923506,0.994589,0.962004
EHHADH,0.679413,1.10779,0.0049607,1.29569,0.817791,1.12098,0.918082,1.12809
EHMT1,0.962647,0.987858,0.659449,0.958153,0.732962,1.11433,0.997914,1.01123
EHMT2,0.768525,1.06668,0.000653085,0.765375,0.87568,1.07564,0.997914,1.01213
EI24,0.791649,1.19561,0.701663,0.875636,0.993267,1.01434,0.980314,1.24731
EID1,0.87394,1.05194,0.0180172,0.77854,0.972384,0.973973,0.993745,1.06317
EID2,0.679413,1.17816,0.111569,1.29,0.965484,1.04677,0.917209,1.21454
EID2B,0.93429,0.979474,0.0510818,0.861713,0.765749,0.899926,0.883427,1.111
EID3,0.593794,0.847251,0.213399,0.854569,0.891312,0.912686,0.949255,0.880574
EIF1,0.867953,0.914876,0.0522712,0.698955,0.942126,0.917999,0.997914,1.03533
EIF1AD,0.84687,0.955378,0.470396,1.07582,0.988789,0.990008,0.997914,1.02086
EIF1AX,0.81638,1.16647,0.38002,0.779544,0.994063,0.98765,0.979422,1.24152
EIF1AY,0.993562,0.967904,0.970743,1.05937,0.972174,0.802053,0.998347,0.930035
EIF1B,0.876046,1.08909,0.912247,1.03437,0.940848,1.09234,0.993745,1.11403
EIF2A,0.655322,1.14503,0.00220997,0.71077,0.879489,0.90406,0.993745,1.06991
EIF2AK1,0.668185,1.0965,0.0537114,0.850715,0.883018,0.932504,0.996726,1.03623
EIF2AK2,0.722452,1.27889,1.58E-08,4.58014,0.0529757,2.95205,0.938408,1.36365
EIF2AK3,0.546618,1.22442,0.825407,1.03692,0.99015,1.01041,0.886788,1.16186
EIF2AK4,0.666512,1.11899,0.266539,0.88274,0.9901,0.989493,0.997914,0.978323
EIF2B1,0.907863,1.04431,0.40305,0.888285,0.929161,1.07024,0.980705,1.11068
EIF2B2,0.642426,1.11588,0.930104,1.01347,0.926925,1.05359,0.997914,0.964831
EIF2B3,0.691821,1.16543,0.297521,0.837565,0.915056,1.10263,0.967231,1.16009
EIF2B4,0.782692,1.06792,0.731699,0.957722,0.986229,1.01325,0.997914,1.03507
EIF2B5,0.563161,1.12943,0.985286,0.997679,0.670169,1.13421,0.777697,1.13432
EIF2D,0.63736,1.10383,1.55E-13,0.502733,0.0321796,0.705123,0.989896,0.944878
EIF2S1,0.687538,1.11743,0.07828,1.21303,0.948373,1.04535,0.993753,1.05987
EIF2S3,0.822514,1.04386,1.26E-11,0.593901,0.260662,0.817214,0.999088,0.997552
EIF3A,0.787453,1.10057,0.508526,0.896668,0.997968,1.00136,0.994119,1.07088
EIF3B,0.839018,1.03971,7.01E-06,0.744418,0.922584,0.959609,0.997914,1.01901
EIF3D,0.964493,1.01078,2.21E-12,0.593029,0.122828,0.792055,0.972802,0.939534
EIF3E,0.769196,1.13269,5.92E-06,0.499059,0.791648,0.81264,0.997914,1.0553
EIF3G,0.913935,1.05124,0.00019945,0.596336,0.967002,1.04285,0.997914,1.02801
EIF3H,0.824782,1.0846,4.94E-06,0.555965,0.861648,0.878041,0.994589,1.06924
EIF3I,0.913813,1.04441,0.00038383,0.65111,0.804138,0.853723,0.997914,0.985211
EIF3J,0.833049,1.0937,0.74676,0.932388,0.996511,0.996027,0.991366,1.10824
EIF3K,0.955221,0.955887,0.00115408,0.493817,0.881644,0.823865,0.997914,0.934307
EIF3L,0.815002,1.07844,1.34E-10,0.445965,0.128215,0.664309,0.997914,0.970002
EIF3M,0.665115,1.16594,0.000207458,0.617084,0.908642,0.909969,0.996467,1.06235
EIF4A1,0.714111,1.24956,0.921346,1.03992,0.938081,1.12652,0.998347,0.981415
EIF4A2,0.622867,1.21436,0.0385458,0.733239,0.991699,1.01139,0.993753,1.08345
EIF4A3,0.868421,1.06799,0.525362,1.11406,0.924847,1.0829,0.984213,1.11518
EIF4E,0.761281,1.2258,0.543258,1.21494,0.963951,0.924667,0.997292,1.11182
EIF4E2,0.92231,1.05222,0.305096,1.2067,0.641081,1.34064,0.975348,1.16315
EIF4E3,0.851474,1.04503,3.64E-06,1.44377,0.889684,1.0685,0.997914,0.990737
EIF4EBP1,0.976925,0.986626,0.395337,0.884263,0.997083,0.997544,0.976269,0.891771
EIF4EBP2,0.544994,1.14479,0.00557936,0.825415,0.75201,0.901696,0.994119,0.963556
EIF4ENIF1,0.564267,1.09846,0.936642,0.992437,0.96012,0.981463,0.997914,1.011
EIF4G1,0.627131,1.08858,0.50475,1.05666,0.817791,1.08262,0.999317,0.999488
EIF4G2,0.7012,1.06626,0.891251,0.985676,0.865811,0.939822,0.984213,0.94846
EIF4G3,0.60109,1.16683,0.995648,1.00098,0.75201,0.853069,0.997914,0.976024
EIF4H,0.952679,1.03594,0.223231,0.796322,0.976529,0.963713,0.746331,1.36164
EIF5,0.631006,1.14968,0.122841,1.19651,0.990091,1.01178,0.979422,1.10439
EIF5A,0.562795,0.795902,0.333758,0.861053,0.757704,0.825474,0.979422,0.886978
EIF5A2,0.918742,1.05162,0.253672,0.822856,0.614427,0.747978,0.995966,0.931449
EIF5B,0.569756,1.22077,0.960637,1.01036,0.788288,1.17524,0.938408,1.15411
EIF6,0.975024,0.974589,0.57698,0.855065,0.944042,1.10305,0.997914,0.973622
ELAC1,0.801469,1.08866,0.0879865,0.802578,0.871188,0.890716,0.997914,1.04239
ELAC2,0.697141,1.0592,0.980701,0.997541,0.956142,1.02062,0.997914,1.01875
ELANE,0.761296,0.873976,0.925836,1.02657,0.99015,0.983499,0.984213,1.13949
ELAVL1,0.788324,1.03345,0.00186912,0.873512,0.841354,0.952034,0.989896,1.03224
ELAVL2,0.602368,0.878343,0.419415,0.914391,0.989297,0.989373,0.994119,0.952092
ELAVL3,0.67641,0.897371,0.996915,0.999381,0.952516,0.962093,0.999058,0.995222
ELAVL4,0.60116,0.863706,0.908875,1.02003,0.893643,0.921601,0.98967,0.928191
ELF1,0.668903,1.096,0.15961,1.13237,0.936095,1.04363,0.937216,1.10226
ELF2,0.924714,1.02896,7.51E-05,1.42036,0.94323,1.0434,0.851912,1.14964
ELF3,0.57951,0.832506,0.956295,1.01124,0.984695,0.981385,0.997914,0.965189
ELF4,0.750874,1.1339,0.0155331,1.42853,0.845606,1.17229,0.981729,0.878115
ELF5,0.719946,0.926219,0.717868,0.959142,0.9967,0.99802,0.999298,0.999142
ELK1,0.613338,0.888334,0.40305,0.916097,0.605092,0.843013,0.760202,0.854184
ELK3,0.909327,1.02686,0.0719234,0.872625,0.857444,0.928547,0.848445,0.893564
ELK4,0.724977,1.11237,0.635069,0.929477,0.88661,0.908464,0.998954,1.00662
ELL,0.719946,0.944263,0.184627,1.09256,0.904854,1.04461,0.993745,0.963761
ELL2,0.826855,1.12255,0.0302461,1.51159,0.90786,0.87557,0.883427,1.30639
ELMO1,0.623566,1.10738,0.197644,1.1168,0.990091,1.0084,0.953039,1.08937
ELMO2,0.543005,1.20186,8.28E-07,1.59116,0.704823,1.16933,0.998367,0.992364
ELMO3,0.531231,0.836692,0.831936,0.971439,0.89277,0.932062,0.979422,0.922676
ELMOD1,0.58058,0.888894,0.217123,0.900214,0.916134,0.951137,0.983981,0.936822
ELMOD2,0.925844,1.06548,0.453164,1.20878,0.991183,1.01711,0.997914,1.02999
ELMOD3,0.865625,1.01912,0.17248,1.05782,0.933376,0.979667,0.994945,1.01908
ELMSAN1,0.965684,1.01175,0.88219,0.982377,0.935517,0.961648,0.997914,0.973669
ELN,0.577025,0.88208,0.894984,0.982567,0.871588,0.928251,0.992034,0.947073
ELOF1,0.948206,1.03223,0.0710265,0.769746,0.976948,0.970025,0.999088,1.00505
ELOVL1,0.639165,1.13719,0.0128804,1.29063,0.861251,1.10844,0.997914,0.973277
ELOVL2,0.678765,0.922668,0.62561,0.952853,0.9901,1.00791,0.993608,0.953405
ELOVL3,0.765907,0.88462,0.00106632,1.62103,0.767749,1.24034,0.997914,1.03483
ELOVL4,0.55077,1.24605,0.0186777,0.758006,0.892158,0.909778,0.977461,1.1169
ELOVL5,0.525981,1.15953,0.136377,0.893492,0.902003,0.949435,0.992352,1.04801
ELOVL6,0.589076,1.13671,0.855516,0.975643,0.0953372,1.3759,0.331971,1.28616
ELP2,0.83862,1.08587,0.31532,0.848106,0.992052,1.00958,0.967231,1.15287
ELP3,0.712248,1.1068,0.718514,0.947748,0.839382,1.12356,0.984213,1.0872
ELP4,0.643494,1.14342,0.495927,0.910381,0.99015,0.988727,0.989896,1.07973
ELP5,0.838785,0.966556,0.00374754,0.847074,0.948041,0.975468,0.997914,0.992617
ELP6,0.740797,0.921587,0.0169485,0.801782,0.960611,0.969543,0.997914,0.976357
ELSPBP1,0.6897,0.934653,0.244524,0.918649,0.996941,0.998587,0.997914,0.974196
EMB,0.818771,1.10219,0.350586,0.845927,0.855251,0.854576,0.997914,1.02344
EMC1,0.605344,1.06633,0.640348,0.971446,0.982951,0.991932,0.878932,1.06801
EMC10,0.735963,0.944506,0.396737,1.06691,0.897451,1.04973,0.977537,1.06091
EMC2,0.671624,1.2508,0.00062457,1.9392,0.844176,1.24115,0.960621,1.23402
EMC3,0.800003,1.11223,0.835659,0.951767,0.990712,1.01352,0.993745,1.09241
EMC4,0.906539,1.05856,0.510688,0.880534,0.878555,1.1439,0.953151,1.18277
EMC6,0.983039,0.986994,0.720917,0.923735,0.953473,1.06229,0.993753,1.09185
EMC7,0.978005,1.02324,0.17924,1.37055,0.855251,1.24591,0.984213,1.1892
EMC8,0.973842,1.01315,0.356627,0.892668,0.981793,1.01964,0.997914,0.978332
EMC9,0.974908,0.985679,0.95535,1.0116,0.765749,1.18533,0.937266,1.15384
EMCN,0.527347,0.888927,0.458583,0.949407,0.394664,0.865537,0.942103,0.936089
EMD,0.815436,0.953143,0.000851637,0.787827,0.811423,0.912458,0.993745,1.04535
EME1,0.726276,0.938926,0.94274,0.991664,0.918083,1.04452,0.988529,1.051
EMG1,0.777311,1.1212,0.813698,1.05525,0.988836,0.982127,0.999088,0.997682
EMID1,0.635314,0.891645,0.591401,0.937935,0.954408,0.966457,0.997216,0.961949
EMILIN1,0.5625,0.848659,0.813261,1.03475,0.93475,0.950437,0.997914,0.967669
EMILIN2,0.553078,0.780176,0.497188,0.890079,0.874708,0.883986,0.795719,0.79175
EMILIN3,0.618808,0.888689,0.720676,0.956026,0.974904,1.0208,0.998861,0.99443
EML1,0.80958,0.960184,0.898862,0.98707,0.973626,0.985519,0.993745,1.03572
EML2,0.981094,0.992816,0.000173598,1.32862,0.473008,1.19685,0.938408,1.09657
EML3,0.89726,0.974534,0.000523441,0.807002,0.89556,0.951459,0.997914,0.986355
EML4,0.62127,1.20111,0.120503,1.25698,0.944363,1.0645,0.984213,1.11972
EML5,0.992518,1.00297,0.0432958,0.869585,0.684358,0.890498,0.997914,1.02207
EMP1,0.980916,1.04926,0.000302748,6.0826,0.952434,1.22455,0.997914,1.19331
EMP2,0.667847,0.894375,0.320055,1.12067,0.872644,1.09479,0.998861,0.993771
EMP3,0.896749,1.09038,0.752562,1.10267,0.852868,1.24993,0.997914,1.07462
EMSY,0.797038,1.09171,0.730495,0.940397,0.87968,0.896562,0.999088,1.00192
EMX1,0.58058,0.868784,0.806294,0.966701,0.953685,0.965382,0.956706,0.905345
EMX2,0.555148,0.884827,0.0109499,0.842175,0.883105,0.943261,0.600185,0.859461
EN1,0.78621,0.923509,0.932621,0.984446,0.948041,0.955451,0.988858,0.924761
EN2,0.651843,0.888536,0.837588,0.968812,0.89818,0.927596,0.997914,0.986909
ENAH,0.601136,0.923176,0.00808937,0.863671,0.669218,0.905788,0.997914,0.989541
ENAM,0.942118,0.983123,0.86546,1.01849,0.959187,1.02335,0.997914,0.989421
ENC1,0.689746,0.858051,0.528332,0.888314,0.931585,0.921841,0.998666,0.988832
ENDOD1,0.687538,0.894201,0.881228,1.02596,0.733953,0.851813,0.922373,0.876561
ENDOG,0.948737,1.02207,0.111307,0.849285,0.992096,0.993573,0.997914,1.01265
ENDOU,0.546618,0.873889,0.72543,0.964965,0.986141,0.989368,0.997914,0.976595
ENDOV,0.579222,0.885546,0.447706,0.929751,0.989904,0.991467,0.995877,0.962165
ENG,0.96829,0.973755,0.26162,1.25881,0.938463,1.09747,0.997914,0.982296
ENGASE,0.607292,0.922862,0.00420111,0.85086,0.839644,0.937825,0.957255,0.939663
ENHO,0.663485,0.893532,0.207079,0.871732,0.670169,0.841763,0.984213,0.923145
ENKD1,0.569756,0.857877,0.367991,0.905231,0.857269,0.90893,0.989896,0.935609
ENKUR,0.872557,0.898629,0.0426497,0.632416,0.485864,0.605508,0.917209,0.751239
ENO1,0.984458,1.00995,0.201369,0.833052,0.992012,1.0095,0.997914,1.02964
ENO2,0.781852,1.064,6.30E-10,0.580245,0.663702,0.863101,0.994119,0.9568
ENO3,0.512709,0.795965,0.183278,0.868401,0.84075,0.89862,0.997914,0.973194
ENOPH1,0.621699,1.18049,0.761258,1.05701,0.99015,1.01308,0.946777,1.15288
ENOSF1,0.907302,0.954597,0.591816,0.915099,0.994472,0.993918,0.949466,1.15055
ENOX1,0.525981,0.895753,0.905026,1.01031,0.717402,0.921365,0.992034,0.966054
ENOX2,0.616825,1.10212,0.332018,1.08529,0.980107,1.0143,0.992816,1.04909
ENPEP,0.743514,0.963519,0.878309,0.989428,0.852744,1.04569,0.997914,0.995289
ENPP1,0.96234,0.994358,0.0179084,0.926136,0.727991,0.950602,0.993745,1.02039
ENPP2,0.980218,0.975459,0.000164964,2.52359,0.990513,1.02288,0.998836,0.981289
ENPP3,0.992987,1.00486,0.919054,0.979884,0.936971,0.941068,0.997914,0.970975
ENPP4,0.913605,1.05287,0.58099,1.11296,0.991183,0.987893,0.994589,1.0783
ENPP5,0.915859,1.04338,0.0699612,0.791669,0.928946,1.07434,0.944175,1.15345
ENPP6,0.562795,0.879642,0.672552,0.957388,0.871588,0.933174,0.941115,0.916566
ENPP7,0.568607,0.853448,0.869323,1.02564,0.993514,1.00523,0.998954,1.00569
ENSA,0.875352,1.06646,0.0690972,0.773814,0.916884,0.916098,0.997914,0.983486
ENTHD1,0.558414,0.887044,0.405458,1.0707,0.998409,1.00056,0.993745,0.95914
ENTHD2,0.589076,0.895137,0.581171,0.947916,0.99535,0.997044,0.994006,0.961038
ENTPD1,0.834987,1.10415,0.99716,0.999042,0.985108,0.974268,0.995966,1.083
ENTPD1-AS1,0.868169,0.95191,4.59E-08,0.575189,0.161831,0.71606,0.961261,0.901194
ENTPD2,0.525981,0.792676,0.952559,0.989106,0.937232,0.946023,0.984213,0.916244
ENTPD3,0.536284,0.83435,0.953727,0.990822,0.825062,0.896967,0.993753,0.949372
ENTPD4,0.902007,1.02882,0.974184,1.00421,0.871188,0.933081,0.997914,1.01113
ENTPD5,0.826714,0.959118,0.000767856,1.24798,0.551299,1.15465,0.531596,1.17634
ENTPD6,0.919517,1.03763,0.575549,1.08565,0.909913,1.08115,0.992352,1.0783
ENTPD7,0.79291,0.93651,0.124049,1.16173,0.764117,0.87819,0.999088,1.00145
ENTPD8,0.548332,0.813017,0.850195,0.967912,0.945277,0.952198,0.997914,0.965208
ENY2,0.649485,1.31274,0.767847,1.10299,0.877506,1.22289,0.997145,1.10314
