gene,qval_6h,ratio_6h,qval_1d,ratio_1d,qval_3d,ratio_3d,qval_7d,ratio_7d
ABCG2,0.959987,0.970396,0.0574467,1.38,0.934428,1.09254,0.997914,1.06726
ABCG4,0.644547,0.905277,0.560891,1.06376,0.998866,1.00048,0.996577,1.03667
ABCG5,0.557369,0.867188,0.913576,0.985274,0.830656,0.911038,0.992034,0.946537
ABCG8,0.605291,0.876969,0.592986,1.06832,0.997968,1.00098,0.999088,0.998594
ABHD1,0.71608,0.91854,0.846271,0.973304,0.916134,0.943422,0.997914,0.989521
ABHD10,0.632678,1.19287,0.899098,1.02986,0.823247,1.17858,0.989896,1.10298
ABHD11,0.835911,0.952332,0.396594,1.08785,0.88661,1.07195,0.997914,1.00727
ABHD12,0.98499,1.01404,0.00307954,1.71308,0.924627,1.11882,0.997914,1.03512
ABHD12B,0.763041,0.946732,0.787851,0.973401,0.957846,1.02404,0.99451,0.966121
ABHD13,0.960516,0.981514,0.0253459,1.26158,0.85864,0.901569,0.98967,1.07756
ABHD14A-ACY1,0.896021,1.02612,1.71E-10,0.645388,0.893425,0.950917,0.954695,0.93297
ABHD14B,0.993828,0.997273,1.34E-10,0.583363,0.612324,0.861362,0.998155,1.00657
ABHD15,0.783732,0.950035,2.78E-05,0.755584,0.804129,0.916078,0.962872,0.931245
ABHD16A,0.990964,0.994378,0.0755978,1.22729,0.747439,1.17773,0.997914,1.03508
ABHD16B,0.610925,0.88021,0.443547,0.916732,0.958991,0.96859,0.997914,0.979547
ABHD17A,0.564019,0.807632,0.730094,0.939438,0.997229,1.00171,0.957255,1.14624
ABHD17B,0.907282,0.966342,0.609993,0.939245,0.776218,0.880493,0.993745,1.05724
ABHD18,0.674776,1.16546,0.0442725,1.32913,0.938749,1.07284,0.956539,1.16303
ABHD2,0.798837,1.09242,0.0348486,1.30977,0.935577,1.06905,0.997914,1.02335
ABHD2,0.715893,0.923118,0.119185,0.870257,0.942624,0.961463,0.997914,1.01193
ABHD3,0.861688,1.05984,0.000439729,1.46719,0.793038,1.16005,0.993753,1.06325
ABHD4,0.924556,1.03784,0.898913,0.974991,0.980648,0.977313,0.881534,0.844471
ABHD5,0.980218,0.989044,0.694336,1.06474,0.968773,0.969074,0.997914,0.972378
ABHD6,0.669407,1.13031,0.0672331,1.22925,0.700703,1.1974,0.989896,0.925404
ABHD8,0.519044,0.838786,0.168346,0.889181,0.844343,0.919261,0.937216,0.910774
ABI1,0.717105,1.16201,0.0707975,1.34423,0.913559,1.11107,0.993753,1.09101
ABI2,0.639165,1.11451,3.39E-07,0.641592,0.591747,0.840578,0.997914,0.984819
ABI3,0.946731,1.04103,0.057945,1.40106,0.171299,1.77118,0.993753,0.909341
ABI3BP,0.610925,0.897239,0.95871,0.99297,0.974904,0.981876,0.997914,0.975928
ABL1,0.739847,1.08645,0.938194,1.01254,0.988323,1.01211,0.996577,0.959306
ABL2,0.987857,1.01335,0.0701872,1.4839,0.97855,1.04453,0.993745,1.13815
ABLIM1,0.904139,1.07628,0.0499843,0.678534,0.874874,0.840114,0.997914,1.05668
ABLIM2,0.64418,0.906343,0.774897,0.966615,0.825062,0.909298,0.997914,0.979183
ABLIM3,0.856359,0.905595,0.229766,0.778281,0.871188,0.839701,0.971051,0.8343
ABO,0.613983,0.899094,0.553672,1.06205,0.969584,0.979023,0.997914,0.981017
ABR,0.781852,1.06382,2.11E-05,1.40666,0.571551,1.18335,0.996726,0.964538
ABRA,0.77085,0.888129,0.402524,1.16316,0.875856,0.874096,0.949255,0.845042
ABRACL,0.964475,1.04745,0.184634,0.664034,0.968026,0.924051,0.998861,1.01796
ABT1,0.760864,1.09439,0.572239,0.922045,0.972693,0.973271,0.954,1.12814
ABTB1,0.773835,1.09015,0.0442312,0.795559,0.976529,1.02478,0.998861,1.00743
ABTB2,0.675746,0.874862,3.71E-05,1.62657,0.97542,1.02827,0.997914,0.961344
ACAA1,0.97478,1.02065,0.868198,0.955869,0.894214,1.14183,0.997914,1.04203
ACAA2,0.794936,1.15237,0.0599035,0.678849,0.971747,0.950436,0.997914,1.03695
ACACA,0.754095,1.04756,0.415218,0.947059,0.923382,1.03427,0.896816,1.07854
ACACB,0.982272,1.00533,0.000174441,0.801312,0.839097,0.934224,0.993745,1.03849
ACAD10,0.70671,0.954416,0.000194224,0.843867,0.645934,0.91744,0.999851,0.999975
ACAD11,0.898029,1.03329,0.00130777,0.775678,0.85769,0.920559,0.711981,1.17148
ACAD8,0.878272,1.04791,0.670107,0.942687,0.961757,1.03349,0.989896,1.07359
ACAD9,0.662936,1.0698,0.101622,1.10671,0.502673,1.13889,0.915662,1.07919
ACADL,0.794842,0.953698,0.51856,0.946992,0.950626,0.973719,0.997914,1.01502
ACADM,0.597076,1.22197,0.905045,1.02828,0.913404,1.09758,0.974286,1.14204
ACADS,0.655322,0.887598,0.342694,1.11895,0.944222,1.04708,0.997914,1.01218
ACADSB,0.942429,1.04139,0.00501752,0.640993,0.934912,0.917251,0.997292,1.07117
ACADVL,0.9932,0.996382,0.20924,0.876685,0.992052,0.99365,0.997914,0.989775
