Gen,Condicion,Cx1,Cx2,Cx3,T1,T2,T3
hsa-miR-886-3p-002194,Target,24.8248,23.5754,23.965,24.9583,25.9342,23.6284
hsa-miR-886-5p-002193,Target,27.4351,26.4594,26.9634,27.5238,26.5558,26.8619
hsa-miR-887-002374,Target,35,35,35,35,35,35
hsa-miR-888-002212,Target,18.6783,18.2445,18.0508,19.8225,17.0137,19.6184
hsa-miR-889-002202,Target,25.8679,28.9587,30.0101,25.9436,25.9623,31.5533
hsa-miR-890-002209,Target,26.8875,24.2637,23.6485,26.1558,26.7817,23.9183
hsa-miR-891a-002191,Target,35,30.9048,31.475,35,35,31.9749
hsa-miR-891b-002210,Target,35,35,35,35,35,35
hsa-miR-892a-002195,Target,35,35,35,35,35,35
hsa-miR-9-000583,Target,30.6361,19.7757,19.7978,30.2184,28.8227,19.9624
hsa-miR-92a-000431,Target,23.6933,20.3502,20.5109,23.9561,24.8611,20.9552
hsa-miR-95-000433,Target,31.6879,35,35,30.2153,29.6031,32.6015
hsa-miR-98-000577,Target,35,35,35,33.7341,35,35
hsa-miR-99a-000435,Target,16.9362,16.6069,15.8829,16.4009,16.2209,15.9523
hsa-miR-99b-000436,Target,20.2182,19.8071,19.8771,20.929,20.0115,19.9921
RNU44-001094,Control,17.253,16.8649,16.8359,17.6667,17.3156,16.7527
RNU48-001006,Control,15.1057,16.4211,16.9914,16.0151,15.0702,16.4404
