Gen,Condicion,Cx1,Cx2,Cx3,T1,T2,T3
hsa-miR-193a-5p-002281,Target,22.5706,24.132,24.3461,22.9652,22.4883,23.9668
hsa-miR-193b-002367,Target,19.1962,20.3502,20.9343,19.4715,19.423,20.6151
hsa-miR-194-000493,Target,27.9272,26.933,26.8486,27.8855,27.592,26.9742
hsa-miR-195-000494,Target,25.5076,23.8031,23.2367,24.4744,24.2761,23.3285
hsa-miR-196b-002215,Target,33.3419,31.2497,31.9432,33.0188,29.6818,32.2277
hsa-miR-197-000497,Target,21.9066,22.0293,21.8845,22.0374,21.744,21.7852
hsa-miR-198-002273,Target,31.8007,35,35,31.9502,30.5995,35
hsa-miR-199a-000498,Target,27.9243,35,35,27.8526,28.4539,35
hsa-miR-199a-3p-002304,Target,19.6249,31.0915,31.541,19.9771,19.9733,30.988
hsa-miR-199b-000500,Target,31.0619,32.8575,35,29.7287,30.0682,35
hsa-miR-19a-000395,Target,23.6334,23.7632,23.6863,23.858,25.2708,23.9876
hsa-miR-19b-000396,Target,19.0076,17.5359,17.5505,19.0042,20.4634,17.9763
hsa-miR-200a-000502,Target,35,35,35,35,35,35
hsa-miR-200b-002251,Target,28.7751,27.7942,27.1686,29.0413,27.6054,28.1096
hsa-miR-200c-002300,Target,26.2356,23.562,23.9736,26.6287,25.105,24.3665
hsa-miR-202-002363,Target,35,35,35,35,32.1273,35
hsa-miR-203-000507,Target,31.2377,32.9048,32.5609,31.0055,29.8854,34.5148
hsa-miR-204-000508,Target,27.3882,24.0055,23.8882,26.6292,26.7648,23.9772
hsa-miR-205-000509,Target,35,35,35,35,35,35
hsa-miR-208-000511,Target,35,35,35,35,35,35
hsa-miR-208b-002290,Target,35,35,35,31.9085,35,35
hsa-miR-20a-000580,Target,22.1805,19.4316,19.6637,21.9129,22.9693,19.802
hsa-miR-20b-001014,Target,25.2151,23.4477,22.9479,24.9538,26.0627,23.3696
hsa-miR-21-000397,Target,18.0571,18.3377,18.3112,18.159,18.3263,18.8088
hsa-miR-210-000512,Target,23.8198,20.2532,20.3354,23.9207,22.4914,19.9258
hsa-miR-211-000514,Target,35,35,35,35,35,35
hsa-miR-212-000515,Target,26.8497,27.3987,26.7051,26.398,25.8183,27.3583
hsa-miR-214-002306,Target,20.6487,35,35,20.9756,20.964,35
hsa-miR-215-000518,Target,35,26.5035,25.7416,35,32.1309,27.1357
hsa-miR-216a-002220,Target,35,35,35,34.9888,34.6167,35
hsa-miR-216b-002326,Target,35,35,33.2156,35,35,35
hsa-miR-217-002337,Target,34.0636,35,35,33.106,31.421,35
hsa-miR-218-000521,Target,23.5808,23.7079,23.7137,23.7236,23.962,23.9337
hsa-miR-219-000522,Target,35,35,35,35,35,35
hsa-miR-219-1-3p-002095,Target,33.6151,32.9308,31.6743,34.2894,33.2488,35
hsa-miR-219-2-3p-002390,Target,17.8506,35,35,35,17.7385,35
hsa-miR-22-000398,Target,21.4288,22.524,22.8326,21.9618,21.6114,22.8458
hsa-miR-220-000523,Target,35,35,35,35,35,35
hsa-miR-220b-002206,Target,35,35,35,35,35,35
hsa-miR-220c-002211,Target,35,35,35,35,35,35
hsa-miR-221-000524,Target,19.421,19.6267,19.927,19.5761,19.979,19.9787
hsa-miR-222-002276,Target,17.5288,16.1093,15.9082,16.953,16.7735,15.867
hsa-miR-223-002295,Target,28.8242,28.5622,28.2932,28.9625,27.9632,28.9878
hsa-miR-224-002099,Target,24.5662,26.8962,28.0007,25.0058,25.2553,27.2486
hsa-miR-23a-000399,Target,21.4353,22.0929,22.9494,21.7975,20.3423,22.4902
hsa-miR-23b-000400,Target,35,35,35,35,22.4866,35
hsa-miR-24-000402,Target,14.9831,18.0162,17.812,14.8196,14.8002,17.778
hsa-miR-25-000403,Target,26.0739,23.5346,23.5538,25.4411,25.1703,23.6368
hsa-miR-26a-000405,Target,21.0767,20.9282,20.5845,20.9373,20.4515,20.6825
hsa-miR-26b-000407,Target,25.5506,26.0147,24.3265,23.2096,22.9306,24.5727
hsa-miR-27a-000408,Target,20.7635,22.872,22.9721,20.8403,21.5161,22.9912
hsa-miR-27b-000409,Target,22.6878,24.9834,24.8416,22.9735,22.4523,24.9563
hsa-miR-28-000411,Target,23.9489,24.4875,24.6667,23.9687,24.1315,24.6628
hsa-miR-28-3p-002446,Target,23.9362,22.9374,22.9482,23.6522,23.5132,22.9681
hsa-miR-296-000527,Target,25.5044,22.8119,22.2162,24.9628,25.0241,22.3322
hsa-miR-296-3p-002101,Target,32.2047,29.9479,30.0615,32.1306,33.155,30.8769
hsa-miR-298-002190,Target,35,35,35,35,35,35
hsa-miR-299-3p-001015,Target,35,35,35,34.3323,35,35
hsa-miR-299-5p-000600,Target,27.8302,33.7243,33.6117,27.6923,28.6185,31.9224
hsa-miR-29a-002112,Target,17.7958,15.4736,15.6943,17.9283,18.0485,15.948
hsa-miR-29b-000413,Target,27.2496,27.3365,27.6278,27.2321,29.2435,27.1071
hsa-miR-29c-000587,Target,28.4821,25.7545,22.9819,24.6941,24.9893,22.9777
hsa-miR-301-000528,Target,25.9018,29.8194,30.1763,26.1037,27.6661,29.93
hsa-miR-301b-002392,Target,31.3422,34.0557,34.038,31.0681,32.8704,33.5896
hsa-miR-302a-000529,Target,26.6572,31.0638,30.8412,26.5396,27.738,33.9067
hsa-miR-302b-000531,Target,26.4499,35,32.4555,24.241,25.2628,35
hsa-miR-302c-000533,Target,20.1447,18.5799,17.5011,20.2077,19.7817,16.9182
hsa-miR-30b-000602,Target,19.9296,19.7922,19.9787,19.9608,19.5113,19.8087
hsa-miR-30c-000419,Target,19.2986,19.4686,19.7008,19.5294,18.9472,19.9385
hsa-miR-31-002279,Target,17.9613,35,35,17.9723,18.8527,35
hsa-miR-32-002109,Target,32.4208,32.0226,33.0692,33.1333,34.9956,33.9422
hsa-miR-320-002277,Target,21.0287,20.6356,20.8985,20.9633,20.9126,20.9899
hsa-miR-323-3p-002227,Target,24.5409,30.6626,29.7233,24.9984,25.3949,29.9868
hsa-miR-324-3p-002161,Target,24.4317,24.9949,25.3375,24.6326,24.2369,25.5351
hsa-miR-324-5p-000539,Target,25.8336,27.7429,27.8316,25.695,27.2195,27.9357
hsa-miR-325-000540,Target,35,35,35,35,35,35
hsa-miR-326-000542,Target,35,35,35,35,35,35
hsa-miR-328-000543,Target,23.6173,25.4687,25.3092,23.3604,23.4081,24.9623
hsa-miR-329-001101,Target,29.4521,31.5488,32.6921,28.9118,28.8116,33.2758
hsa-miR-330-000544,Target,26.6665,29.0762,29.7747,26.5451,26.2791,28.9413
hsa-miR-330-5p-002230,Target,35,35,35,35,35,35
hsa-miR-331-000545,Target,20.2197,23.3293,23.534,20.3942,20.4482,23.9793
hsa-miR-331-5p-002233,Target,31.9606,31.0031,32.9503,31.7499,31.8273,32.9192
hsa-miR-335-000546,Target,24.2454,24.4315,24.5747,24.0315,24.3894,24.9792
hsa-miR-337-5p-002156,Target,26.2795,32.8238,32.9907,26.698,28.0132,31.5905
hsa-miR-338-3p-002252,Target,35,32.6933,35,35,35,35
hsa-miR-339-3p-002184,Target,25.3425,24.8721,24.9713,25.6065,25.1987,24.9558
hsa-miR-339-5p-002257,Target,23.2688,23.7366,23.7587,23.1596,23.2799,23.7883
hsa-miR-33b-002085,Target,35,35,35,35,35,35
hsa-miR-340-002258,Target,28.7923,34.8158,34.9261,28.9812,29.3378,35
hsa-miR-342-3p-002260,Target,22.6795,24.0445,24.8301,23.525,22.3214,24.9369
hsa-miR-342-5p-002147,Target,35,35,35,35,35,35
hsa-miR-345-002186,Target,24.4339,23.4562,23.7269,24.6602,24.7532,23.6684
hsa-miR-346-000553,Target,35,35,35,35,35,35
hsa-miR-34a-000426,Target,22.224,21.5043,21.6116,22.4376,22.9875,21.9742
hsa-miR-34c-000428,Target,27.8802,29.7562,28.905,27.8979,28.9742,31.3524
hsa-miR-361-000554,Target,26.7496,26.8064,26.8332,26.467,25.7003,26.5823
hsa-miR-362-001273,Target,26.6813,26.645,26.6676,26.9576,27.3982,27.0007
hsa-miR-362-3p-002117,Target,29.7233,30.3441,30.5111,29.8498,31.8152,30.9623
hsa-miR-363-001271,Target,30.1735,35,35,29.9695,30.961,35
hsa-miR-365-001020,Target,21.1924,23.5713,23.9867,21.9873,21.4217,23.9536
hsa-miR-367-000555,Target,21.2838,22.0683,21.9775,20.6152,20.9739,21.0362
hsa-miR-369-3p-000557,Target,32.6454,35,35,30.2015,30.9549,34.2414
hsa-miR-369-5p-001021,Target,30.0871,31.7511,33.1283,31.0929,31.976,35
hsa-miR-370-002275,Target,21.8525,27.706,28.3193,21.9928,23.0225,27.9805
hsa-miR-371-3p-002124,Target,35,35,35,35,35,35
hsa-miR-372-000560,Target,30.9695,30.8183,31.0196,32.232,35,30.7875
hsa-miR-373-000561,Target,33.7318,35,35,32.1537,35,35
hsa-miR-374-000563,Target,22.4239,23.9478,23.5417,24.927,21.8329,23.5946
hsa-miR-375-000564,Target,33.9749,30.8438,29.9533,32.5361,30.2871,29.9138
hsa-miR-376a-000565,Target,21.6177,25.5468,25.5026,21.3766,21.9836,25.6691
hsa-miR-376b-001102,Target,21.2426,20.102,20.2945,21.9505,21.9562,20.9136
hsa-miR-376c-002122,Target,20.6555,24.929,24.707,20.8858,20.5466,24.973
hsa-miR-377-000566,Target,29.2334,35,35,35,29.4096,35
hsa-miR-380-3p-000569,Target,29.022,35,35,28.8194,30.0459,35
hsa-miR-381-000571,Target,31.2013,34.9162,33.8318,29.9442,31.5,32.9306
hsa-miR-382-000572,Target,21.135,26.001,25.5358,21.5,20.9739,25.2822
hsa-miR-383-000573,Target,30.1418,35,35,29.8974,33.8038,35
